文件名,1小时热度,2小时热度,3小时热度,4小时热度,6小时热度,9小时热度,总热度,总影响范围,紧急程度4小时,敏感程度,话题倾向,严重系数1小时,严重系数2小时,严重系数3小时,严重程度3小时
小米汽车今晚上市,85,85,85,85,85,85,85,小,不紧急,0,0,0,0,0,轻度偏离
小米汽车回应,1506,1560,1560,1560,25858,40485,60595,中,不紧急,0,0,0,0.125,0.125,轻度偏离
巴勒斯坦,32,32,32,32,32,32,32,小,不紧急,3,0,0.428571429,0.428571429,0.428571429,中度偏离
巴基斯坦,10221,10221,10221,10221,10221,10221,10221,中,不紧急,3,0,2,2,2,特重度偏离
巴黎奥组委为开幕式争议节目道歉,9834,27794,45496,49411,50253,50668,64243,中,紧急,0,-1,0.168604651,0.175833333,0.178490991,轻度偏离
张元英站姐发了刘耀文,93,93,93,93,93,93,93,小,不紧急,0,0,0.25,0.25,0.25,轻度偏离
张本智和早田希娜爆冷出局,16,16,1691,1691,1691,1691,1691,小,不紧急,0,-1,0.25,0.25,0.247461929,轻度偏离
当汉字与春天不期而遇,10900,10938,10938,11335,60378,127722,127722,大,不紧急,0,1,0.25,0.25,0.25,轻度偏离
德国博物馆调查八国联军劫掠的中国文物,847,1703,1703,1703,1703,1703,1703,小,不紧急,2,0,0.99,0.857142857,0.857142857,特重度偏离
恋与深空,263854,263854,263854,263854,263854,263854,263854,大,不紧急,0,0,0.25,0.25,0.25,轻度偏离
愚人节文案,13646,13646,13646,13646,13646,13646,13646,中,不紧急,0,0,0,0,0,轻度偏离
打雷,5378248,5378248,5378248,5378248,5378248,5378248,5378248,超大,不紧急,0,0,0,0,0,轻度偏离
文化冲突,82,82,82,82,82,82,82,小,不紧急,2,-1,0.75,0.75,0.75,重度偏离
新版赵灵儿 阴蚀王,5326,6697,12456,12480,12480,12480,13490,中,不紧急,0,0,0.25,0.07826087,0.085025381,轻度偏离
旅游业增长,812,812,812,812,812,812,812,小,不紧急,0,0,0,0,0,轻度偏离
本周狗屎运最旺的星座,842,842,842,842,842,842,842,小,不紧急,0,0,0,0,0,轻度偏离
李佳琦说旺旺离职不会挽留,259,259,259,259,259,259,259,小,不紧急,0,0,0,0,0,轻度偏离
李想,178918,178918,178918,178918,178918,178918,178918,大,不紧急,0,0,0,0,0,轻度偏离
李若彤回应58岁未婚未育,684,684,684,684,684,684,684,小,不紧急,0,0,0,0,0,轻度偏离
杜江霍思燕收养实验犬,138670,139955,139955,139955,139955,139955,139955,大,不紧急,0,1,0,0.046296296,0.046296296,轻度偏离
杜海涛 夏油杰,3200,3912,3912,4325,4325,12710,17943,中,不紧急,0,0,0,0,0,轻度偏离
杜海涛 霍尊,318,318,318,318,318,318,318,小,不紧急,0,0,0,0,0,轻度偏离
杭州姐姐给了弟弟200元刮中100万,35,35,35,35,35,35,35,小,不紧急,0,1,0.25,0.25,0.25,轻度偏离
林俊杰贵阳,263763,263763,263763,263763,263763,263763,263763,大,不紧急,0,0,0,0,0,轻度偏离
某幻不直播,1026,14371,16805,115666,117744,119082,119746,大,非常紧急,0,0,0.120689655,0.121212121,0.122829861,轻度偏离
梁靖崑冠军,489,491,491,575,656,32536,230475,大,不紧急,0,1,0.25,0.25,0.25,轻度偏离
检方通报邯郸初中生被害案,1080893,1081088,1081088,1081088,1081088,1081088,1081088,超大,不紧急,2,-1,1.35326087,1.331125828,1.331125828,特重度偏离
檀健次坐飞机迟到被点名,92811,99410,111449,112402,116392,116392,116392,大,不紧急,0,0,0,0.016666667,0.010869565,轻度偏离
欧阳娣娣第八名出道,1376,1376,1376,1376,1376,1376,1376,小,不紧急,0,0,0,0,0,轻度偏离
武汉地铁就无臂男子事件道歉,77,77,77,198,77919,364967,436618,大,不紧急,2,-1,0.75,0.75,0.75,重度偏离
比亚迪,213,213,213,213,213,213,213,小,不紧急,0,0,0,0,0,轻度偏离
沈图南入党,2739562,2739562,2739562,2739562,2739562,2769549,4625697,超大,不紧急,3,0,0,0,0,轻度偏离
沈璃行止圆房,93,93,93,93,93,93,93,小,不紧急,0,0,0,0,0,轻度偏离
河南一女性在树林自缢身亡,12664,12833,14167,16445,16750,17693,20947,中,紧急,2,-1,0.75,0.75,0.770833334,重度偏离
洞庭湖决堤,347,4139,14714,44706,58310,58310,58310,中,非常紧急,3,-1,1,1.04,1.014925373,特重度偏离
浙江男子账户里的2470万保住了,212,1931,13184,13278,13278,13278,37120,中,不紧急,0,0,0.25,0.139175258,0.125714286,轻度偏离
滤镜,2097,2097,2097,2097,2097,2097,2097,小,不紧急,0,0,0,0,0,轻度偏离
潘展乐100自由泳金牌,335470,335470,335470,335470,335470,335470,500258,大,不紧急,0,1,0.169014085,0.169014085,0.169014085,轻度偏离
潘展乐的事业编同事招人了,35,84,113,124,603,10724,11959,中,不紧急,0,0,0.017857143,0.009259259,0,轻度偏离
特斯拉,83,83,83,83,83,83,83,小,不紧急,0,0,0,0,0,轻度偏离
特朗普称右耳被子弹击穿,1545,1890,1895,1895,1895,1895,1895,小,不紧急,3,0,0.1,0.066666667,0.066666667,轻度偏离
王一博一镜到底的哭戏,700618,1245652,1245652,1245652,1245652,2947946,5489658,超大,不紧急,0,1,0.25,0.25,0.25,轻度偏离
王一博听到并立于雪山之巅笑了,2269,2269,2269,2269,2269,2269,2269,小,不紧急,0,0,0,0,0,轻度偏离
王一博演技,430,430,430,11585,11585,11585,11585,中,非常紧急,0,0,0,0,0,轻度偏离
王俊凯点赞评论全红婵微博,767,767,767,767,48215,48592,48592,中,不紧急,0,0,0,0,0,轻度偏离
王俊凯金尘茶,1725,1725,1725,1725,1725,1725,1725,小,不紧急,0,0,0,0,0,轻度偏离
王力宏常州,6565,6565,6565,6565,6565,6565,6565,小,不紧急,0,0,0,0,0,轻度偏离
王栎鑫长沙演唱会,738,738,738,738,738,738,738,小,不紧急,0,0,0.5,0.5,0.5,中度偏离
王源 二巡,1634,1634,1634,1634,1634,1634,1634,小,不紧急,0,0,0,0,0,轻度偏离
王者荣耀,317,317,317,317,317,317,317,小,不紧急,0,0,0,0,0,轻度偏离
瑞幸向易烊千玺道歉,7,13,14,14,14,32,58,小,不紧急,0,-1,0,0.083333333,0,轻度偏离
田亮带着儿子女儿在巴黎铁塔下卖货,25276,25276,25276,25276,25279,25279,25411,中,不紧急,0,0,0,0,0,轻度偏离
男子试驾劳斯莱斯获销售鼓励打动网友,51077,51077,51077,51077,54366,103002,1355837,超大,不紧急,0,1,0.25,0.25,0.25,轻度偏离
男子通马桶眼睛被灼伤几乎失明,2,64,1953,12766,13434,13779,17742,中,非常紧急,0,-1,0.25,0.25,0.256535948,轻度偏离
男性其实也有最佳生育年龄,204,38922,38922,38922,38922,38922,38922,中,不紧急,0,0,0,0,0,轻度偏离
